locationString,EndLocationString,Start,End,ips,UAs,timestamp
US/Alabama,BG/Gabrovo,2022-11-26T01:23:36.6650801Z,2022-11-26T01:31:05.7053855Z,"[""198.184.209.68""]","[""BAV2ROPC""]",2022-11-26T01:23:36.6650801Z
PK/Punjab,BG/Gabrovo,2022-11-26T01:24:22.4112106Z,2022-11-26T01:31:05.7053855Z,"[""43.251.255.104""]","[""BAV2ROPC""]",2022-11-26T01:24:22.4112106Z
AU/New South Wales,US/South Carolina,2022-11-26T01:30:14.8545295Z,2022-11-26T01:31:24.2528774Z,"[""218.214.118.10""]","[""BAV2ROPC""]",2022-11-26T01:30:14.8545295Z
CN/Hubei,BG/Gabrovo,2022-11-26T01:30:17.8735407Z,2022-11-26T01:31:05.7053855Z,"[""119.96.44.63""]","[""BAV2ROPC""]",2022-11-26T01:30:17.8735407Z
US/South Carolina,MD/Chisinau,2022-11-26T01:31:21.7033778Z,2022-11-26T01:32:47.9606540Z,"[""70.154.89.10""]","[""BAV2ROPC""]",2022-11-26T01:31:21.7033778Z
US/South Carolina,MD/Chisinau,2022-11-26T01:31:42.4603836Z,2022-11-26T01:32:47.9606540Z,"[""174.56.157.232""]","[""BAV2ROPC""]",2022-11-26T01:31:42.4603836Z
JP/Tokyo,MD/Chisinau,2022-11-26T01:32:31.5461958Z,2022-11-26T01:32:47.9606540Z,"[""203.191.241.59""]","[""BAV2ROPC""]",2022-11-26T01:32:31.5461958Z
CN/Chongqing,IL/Hadarom,2022-11-26T01:48:18.8768003Z,2022-11-26T01:49:16.8154704Z,"[""183.230.197.49""]","[""BAV2ROPC""]",2022-11-26T01:48:18.8768003Z
IL/Hadarom,CN/Xinjiang,2022-11-26T01:49:05.2418269Z,2022-11-26T01:54:15.8831647Z,"[""2.55.81.14""]","[""BAV2ROPC""]",2022-11-26T01:49:05.2418269Z
CN/Xinjiang,CN/Chongqing,2022-11-26T01:54:09.9856986Z,2022-11-26T01:56:58.9121944Z,"[""220.171.158.86""]","[""BAV2ROPC""]",2022-11-26T01:54:09.9856986Z
CN/Shanghai Shi,LB/Liban-Nord,2022-11-26T01:56:50.1548287Z,2022-11-26T01:58:51.2738039Z,"[""114.80.108.62""]","[""BAV2ROPC""]",2022-11-26T01:56:50.1548287Z
CN/Chongqing,VN/Nam Dinh,2022-11-26T01:56:56.3062533Z,2022-11-26T02:01:52.0884979Z,"[""183.230.162.194""]","[""BAV2ROPC""]",2022-11-26T01:56:56.3062533Z
CN/Shanghai Shi,CN/Gansu,2022-11-26T01:57:33.0368146Z,2022-11-26T01:58:05.5007219Z,"[""221.239.150.246""]","[""BAV2ROPC""]",2022-11-26T01:57:33.0368146Z
CN/Gansu,LB/Liban-Nord,2022-11-26T01:57:59.1149000Z,2022-11-26T01:58:51.2738039Z,"[""221.7.49.218""]","[""BAV2ROPC""]",2022-11-26T01:57:59.1149000Z
LB/Liban-Nord,CN/Shandong,2022-11-26T01:58:43.1474958Z,2022-11-26T01:59:01.8360575Z,"[""185.101.17.223""]","[""BAV2ROPC""]",2022-11-26T01:58:43.1474958Z
VN/Nam Dinh,CN/Shanxi,2022-11-26T02:01:43.9207197Z,2022-11-26T02:13:02.6520699Z,"[""27.72.46.90""]","[""BAV2ROPC""]",2022-11-26T02:01:43.9207197Z
MD/Chisinau,CN/Shanxi,2022-11-26T02:03:33.9510234Z,2022-11-26T02:13:02.6520699Z,"[""37.75.123.3""]","[""BAV2ROPC""]",2022-11-26T02:03:33.9510234Z
US/Virginia,CN/Shanxi,2022-11-26T02:04:10.7823302Z,2022-11-26T02:13:02.6520699Z,"[""71.219.16.162""]","[""BAV2ROPC""]",2022-11-26T02:04:10.7823302Z
CN/Shanxi,SD/Al Khartum,2022-11-26T02:12:52.2529509Z,2022-11-26T02:20:52.0144418Z,"[""113.25.250.81""]","[""BAV2ROPC""]",2022-11-26T02:12:52.2529509Z
LA/Viangchan City,SD/Al Khartum,2022-11-26T02:19:10.5748679Z,2022-11-26T02:20:52.0144418Z,"[""183.182.107.206""]","[""BAV2ROPC""]",2022-11-26T02:19:10.5748679Z
CN/Liaoning,SD/Al Khartum,2022-11-26T02:19:49.8730204Z,2022-11-26T02:20:52.0144418Z,"[""211.137.8.103""]","[""BAV2ROPC""]",2022-11-26T02:19:49.8730204Z
RU/Moskva,SD/Al Khartum,2022-11-26T02:20:33.7776165Z,2022-11-26T02:20:52.0144418Z,"[""109.252.238.34""]","[""BAV2ROPC""]",2022-11-26T02:20:33.7776165Z
SD/Al Khartum,BR/Rio De Janeiro,2022-11-26T02:20:49.4074776Z,2022-11-26T02:22:17.2687984Z,"[""212.0.137.154""]","[""BAV2ROPC""]",2022-11-26T02:20:49.4074776Z
CN/Chongqing,BR/Rio De Janeiro,2022-11-26T02:21:14.6785138Z,2022-11-26T02:22:17.2687984Z,"[""222.179.42.134""]","[""BAV2ROPC""]",2022-11-26T02:21:14.6785138Z
BR/Rio De Janeiro,AU/New South Wales,2022-11-26T02:22:06.3360978Z,2022-11-26T02:24:26.8640226Z,"[""186.239.134.158""]","[""BAV2ROPC""]",2022-11-26T02:22:06.3360978Z
CN/Shanghai Shi,AU/New South Wales,2022-11-26T02:23:47.9598893Z,2022-11-26T02:24:26.8640226Z,"[""180.168.86.70""]","[""BAV2ROPC""]",2022-11-26T02:23:47.9598893Z
FR/Pas-De-Calais,AU/New South Wales,2022-11-26T02:24:02.7419981Z,2022-11-26T02:24:26.8640226Z,"[""193.200.116.167""]","[""BAV2ROPC""]",2022-11-26T02:24:02.7419981Z
AU/New South Wales,US/South Carolina,2022-11-26T02:24:21.7609070Z,2022-11-26T02:25:36.9748768Z,"[""111.220.86.221""]","[""BAV2ROPC""]",2022-11-26T02:24:21.7609070Z
KH/Phnum Penh,GB/Wiltshire,2022-11-26T03:15:59.8386759Z,2022-11-26T03:16:27.7577606Z,"[""175.100.101.110""]","[""BAV2ROPC""]",2022-11-26T03:15:59.8386759Z
GB/Wiltshire,PT/Porto,2022-11-26T03:16:17.2314448Z,2022-11-26T03:28:56.5251574Z,"[""51.52.107.29""]","[""BAV2ROPC""]",2022-11-26T03:16:17.2314448Z
CN/Hainan,PT/Porto,2022-11-26T03:18:02.7349064Z,2022-11-26T03:29:20.2929346Z,"[""218.75.78.42""]","[""BAV2ROPC""]",2022-11-26T03:18:02.7349064Z
PK/Sindh,AU/Victoria,2022-11-26T03:19:13.6422885Z,2022-11-26T03:21:29.2324425Z,"[""113.203.194.28""]","[""BAV2ROPC""]",2022-11-26T03:19:13.6422885Z
AU/Victoria,CN/Shaanxi,2022-11-26T03:21:21.4075580Z,2022-11-26T03:22:30.3789921Z,"[""112.141.38.88""]","[""BAV2ROPC""]",2022-11-26T03:21:21.4075580Z
PT/Porto,SD/Al Khartum,2022-11-26T03:28:56.5251574Z,2022-11-26T03:30:57.6249318Z,"[""89.114.29.229""]","[""BAV2ROPC""]",2022-11-26T03:28:56.5251574Z
BR/Goias,SD/Al Khartum,2022-11-26T03:30:33.2257456Z,2022-11-26T03:31:10.7907712Z,"[""201.25.97.122""]","[""BAV2ROPC""]",2022-11-26T03:30:33.2257456Z
CN/Shandong,RU/Rostovskaya Oblast',2022-11-26T03:35:02.1750983Z,2022-11-26T03:35:50.9130383Z,"[""124.133.250.218""]","[""BAV2ROPC""]",2022-11-26T03:35:02.1750983Z
RU/Rostovskaya Oblast',CN/Nei Mongol,2022-11-26T03:35:45.5492399Z,2022-11-26T03:36:18.0215598Z,"[""46.147.240.204""]","[""BAV2ROPC""]",2022-11-26T03:35:45.5492399Z
CN/Nei Mongol,CN/Shanghai Shi,2022-11-26T03:36:04.7990691Z,2022-11-26T03:37:39.3007028Z,"[""110.7.40.122""]","[""BAV2ROPC""]",2022-11-26T03:36:04.7990691Z
US/Alabama,SD/Al Khartum,2022-11-26T03:52:08.1731634Z,2022-11-26T04:03:51.3334273Z,"[""71.45.191.190""]","[""BAV2ROPC""]",2022-11-26T03:52:08.1731634Z
CN/Shanghai Shi,RU/Krasnodarskiy Kray,2022-11-26T04:04:09.9498881Z,2022-11-26T04:04:42.1676974Z,"[""112.65.255.36""]","[""BAV2ROPC""]",2022-11-26T04:04:09.9498881Z
RU/Krasnodarskiy Kray,BG/Sofiya-Grad,2022-11-26T04:04:36.7999274Z,2022-11-26T04:05:38.3734696Z,"[""178.176.193.56""]","[""BAV2ROPC""]",2022-11-26T04:04:36.7999274Z
KR/Chungcheongbuk-Do,RU/Kemerovskaya Oblast',2022-11-26T04:18:14.8435929Z,2022-11-26T04:20:00.6960209Z,"[""112.167.233.14""]","[""BAV2ROPC""]",2022-11-26T04:18:14.8435929Z
SG/Central Singapore,RU/Kemerovskaya Oblast',2022-11-26T04:19:00.4141925Z,2022-11-26T04:20:00.6960209Z,"[""51.79.173.159""]","[""BAV2ROPC""]",2022-11-26T04:19:00.4141925Z
BE/Hainaut,RU/Kemerovskaya Oblast',2022-11-26T04:19:15.4123612Z,2022-11-26T04:20:00.6960209Z,"[""87.65.36.20""]","[""BAV2ROPC""]",2022-11-26T04:19:15.4123612Z
RU/Kemerovskaya Oblast',RU/Sankt-Peterburg,2022-11-26T04:20:00.6960209Z,2022-11-26T04:34:05.4602288Z,"[""46.180.171.206""]","[""BAV2ROPC""]",2022-11-26T04:20:00.6960209Z
LA/Viangchan City,IT/Milano,2022-11-26T04:27:58.2613743Z,2022-11-26T04:28:26.2157716Z,"[""115.84.92.198""]","[""BAV2ROPC""]",2022-11-26T04:27:58.2613743Z
IT/Milano,VN/Ninh Binh,2022-11-26T04:28:23.6772507Z,2022-11-26T04:28:56.8509214Z,"[""176.10.62.26""]","[""BAV2ROPC""]",2022-11-26T04:28:23.6772507Z
VN/Ninh Binh,CN/Xinjiang,2022-11-26T04:28:48.7735790Z,2022-11-26T04:29:16.2972561Z,"[""117.7.231.140""]","[""BAV2ROPC""]",2022-11-26T04:28:48.7735790Z
RU/Sankt-Peterburg,JP/Tokyo,2022-11-26T04:34:00.2110622Z,2022-11-26T04:34:20.8373270Z,"[""91.122.14.53""]","[""BAV2ROPC""]",2022-11-26T04:34:00.2110622Z
JP/Tokyo,BR/Rio De Janeiro,2022-11-26T04:34:18.2678304Z,2022-11-26T04:34:52.4578717Z,"[""219.121.2.140""]","[""BAV2ROPC""]",2022-11-26T04:34:18.2678304Z
BR/Rio De Janeiro,IN/Karnataka,2022-11-26T04:34:39.4984996Z,2022-11-26T04:35:47.6922483Z,"[""189.108.72.227""]","[""BAV2ROPC""]",2022-11-26T04:34:39.4984996Z
CN/Jiangxi,PE/Lima Province,2022-11-26T04:35:05.4361008Z,2022-11-26T04:42:32.2668472Z,"[""118.118.234.136""]","[""BAV2ROPC""]",2022-11-26T04:35:05.4361008Z
IN/Karnataka,IR/Mazandaran,2022-11-26T04:35:47.6922483Z,2022-11-26T04:39:50.0481261Z,"[""122.166.165.22""]","[""BAV2ROPC""]",2022-11-26T04:35:47.6922483Z
TG/Maritime,IN/Karnataka,2022-11-26T04:36:17.9053615Z,2022-11-26T04:42:10.9555096Z,"[""156.38.72.172""]","[""BAV2ROPC""]",2022-11-26T04:36:17.9053615Z
IR/Mazandaran,PE/Lima Province,2022-11-26T04:39:41.9623634Z,2022-11-26T04:42:37.3433393Z,"[""5.236.96.240""]","[""BAV2ROPC""]",2022-11-26T04:39:41.9623634Z
RU/Tomskaya Oblast',PE/Lima Province,2022-11-26T04:40:41.3536851Z,2022-11-26T04:42:37.3433393Z,"[""78.140.29.134""]","[""BAV2ROPC""]",2022-11-26T04:40:41.3536851Z
MX/Queretaro De Arteaga,IN/Karnataka,2022-11-26T04:41:23.6898678Z,2022-11-26T04:42:10.9555096Z,"[""148.243.43.10""]","[""BAV2ROPC""]",2022-11-26T04:41:23.6898678Z
IN/Karnataka,US/Pennsylvania,2022-11-26T04:42:08.3975822Z,2022-11-26T04:43:18.5053369Z,"[""122.166.203.170""]","[""BAV2ROPC""]",2022-11-26T04:42:08.3975822Z
PE/Lima Province,US/Pennsylvania,2022-11-26T04:42:24.2844717Z,2022-11-26T04:43:07.8246663Z,"[""148.102.50.194""]","[""BAV2ROPC""]",2022-11-26T04:42:24.2844717Z
US/Pennsylvania,ZA/Gauteng,2022-11-26T04:43:05.1545053Z,2022-11-26T04:44:48.2440926Z,"[""50.220.210.121""]","[""BAV2ROPC""]",2022-11-26T04:43:05.1545053Z
IN/Karnataka,CN/Shandong,2022-11-26T05:01:11.5337199Z,2022-11-26T05:02:00.4410441Z,"[""103.66.48.67""]","[""BAV2ROPC""]",2022-11-26T05:01:11.5337199Z
CN/Shandong,RU/Moskva,2022-11-26T05:01:55.2240622Z,2022-11-26T05:06:28.1597285Z,"[""221.0.81.175""]","[""BAV2ROPC""]",2022-11-26T05:01:55.2240622Z
RO/Caras-Severin,TW/Hsinchu,2022-11-26T05:02:59.9692372Z,2022-11-26T05:06:08.3348538Z,"[""46.214.169.40""]","[""BAV2ROPC""]",2022-11-26T05:02:59.9692372Z
TW/Hsinchu,CN/Shandong,2022-11-26T05:06:00.3413320Z,2022-11-26T05:19:50.3032848Z,"[""60.251.196.139""]","[""BAV2ROPC""]",2022-11-26T05:06:00.3413320Z
RU/Moskva,IN/Uttar Pradesh,2022-11-26T05:06:17.7071720Z,2022-11-26T05:15:33.4015370Z,"[""77.51.187.149""]","[""BAV2ROPC""]",2022-11-26T05:06:17.7071720Z
IN/Uttar Pradesh,CN/Shandong,2022-11-26T05:15:22.5661589Z,2022-11-26T05:19:52.8657935Z,"[""43.225.69.20""]","[""BAV2ROPC""]",2022-11-26T05:15:22.5661589Z
CN/Shandong,FR/Bas-Rhin,2022-11-26T05:19:42.3516149Z,2022-11-26T05:22:40.0729858Z,"[""222.173.86.202""]","[""BAV2ROPC""]",2022-11-26T05:19:42.3516149Z
RU/Krasnodarskiy Kray,PE/Lima Province,2022-11-26T05:20:27.7621415Z,2022-11-26T05:22:11.3075776Z,"[""83.169.239.165""]","[""BAV2ROPC""]",2022-11-26T05:20:27.7621415Z
US/North Carolina,CN/Tianjin Shi,2022-11-26T05:20:49.5234531Z,2022-11-26T05:21:37.1299645Z,"[""75.177.156.192""]","[""BAV2ROPC""]",2022-11-26T05:20:49.5234531Z
CN/Tianjin Shi,FR/Bas-Rhin,2022-11-26T05:21:34.4191542Z,2022-11-26T05:22:37.4048895Z,"[""221.238.67.179""]","[""BAV2ROPC""]",2022-11-26T05:21:34.4191542Z
FR/Bas-Rhin,VN/Da Nang,2022-11-26T05:22:34.8257813Z,2022-11-26T05:22:54.6852366Z,"[""51.77.245.100""]","[""BAV2ROPC""]",2022-11-26T05:22:34.8257813Z
VN/Da Nang,CN/Shanghai Shi,2022-11-26T05:22:52.0736187Z,2022-11-26T05:24:57.5679297Z,"[""119.17.221.61""]","[""BAV2ROPC""]",2022-11-26T05:22:52.0736187Z
AR/Buenos Aires,BR/Mato Grosso,2022-11-26T05:23:43.6110524Z,2022-11-26T05:24:19.2095618Z,"[""45.71.58.137""]","[""BAV2ROPC""]",2022-11-26T05:23:43.6110524Z
BR/Mato Grosso,CN/Shanghai Shi,2022-11-26T05:24:06.1529463Z,2022-11-26T05:24:57.5679297Z,"[""45.237.242.74""]","[""BAV2ROPC""]",2022-11-26T05:24:06.1529463Z
CN/Shanghai Shi,US/Missouri,2022-11-26T05:24:49.8187419Z,2022-11-26T05:29:52.0741478Z,"[""124.78.20.120""]","[""BAV2ROPC""]",2022-11-26T05:24:49.8187419Z
DE/Saarland,US/Missouri,2022-11-26T05:25:08.5609299Z,2022-11-26T05:29:52.0741478Z,"[""135.125.181.232""]","[""BAV2ROPC""]",2022-11-26T05:25:08.5609299Z
US/Missouri,FR/Paris,2022-11-26T05:29:46.8721719Z,2022-11-26T05:30:20.2249120Z,"[""73.48.23.103""]","[""BAV2ROPC""]",2022-11-26T05:29:46.8721719Z
FR/Paris,US/Georgia,2022-11-26T05:30:09.7643010Z,2022-11-26T05:43:35.3299459Z,"[""37.157.226.235""]","[""BAV2ROPC""]",2022-11-26T05:30:09.7643010Z
SD/Al Khartum,CN/Shanghai Shi,2022-11-26T05:40:39.6702327Z,2022-11-26T05:41:40.4985791Z,"[""196.1.200.85""]","[""BAV2ROPC""]",2022-11-26T05:40:39.6702327Z
CN/Shanghai Shi,RU/Krasnoyarskiy Kray,2022-11-26T05:41:40.4985791Z,2022-11-26T05:42:14.5994697Z,"[""180.169.139.73""]","[""BAV2ROPC""]",2022-11-26T05:41:40.4985791Z
US/Georgia,CN/Shanghai Shi,2022-11-26T05:43:35.3299459Z,2022-11-26T05:45:50.0944126Z,"[""38.147.41.220""]","[""BAV2ROPC""]",2022-11-26T05:43:35.3299459Z
MK/Bitola,ZA/Western Cape,2022-11-26T05:57:54.5731843Z,2022-11-26T05:58:36.9655811Z,"[""94.100.96.42""]","[""BAV2ROPC""]",2022-11-26T05:57:54.5731843Z
ZA/Western Cape,CN/Ningxia,2022-11-26T05:58:23.1261061Z,2022-11-26T05:59:01.8078578Z,"[""164.160.180.224""]","[""BAV2ROPC""]",2022-11-26T05:58:23.1261061Z
NG/Lagos,PK/Punjab,2022-11-26T06:02:30.3391306Z,2022-11-26T06:05:40.0943320Z,"[""197.255.168.70""]","[""BAV2ROPC""]",2022-11-26T06:02:30.3391306Z
RU/Khakasiya,VN/Nghe An,2022-11-26T06:03:10.7688100Z,2022-11-26T06:12:54.6173786Z,"[""176.116.184.181""]","[""BAV2ROPC""]",2022-11-26T06:03:10.7688100Z
BR/Rio De Janeiro,DK/Syddanmark,2022-11-26T06:03:50.4315152Z,2022-11-26T06:13:06.6025610Z,"[""45.179.169.107""]","[""BAV2ROPC""]",2022-11-26T06:03:50.4315152Z
PK/Punjab,ES/Asturias,2022-11-26T06:05:26.9594668Z,2022-11-26T06:09:11.2413838Z,"[""43.251.255.103""]","[""BAV2ROPC""]",2022-11-26T06:05:26.9594668Z
IN/Karnataka,ET/Adis Abeba,2022-11-26T06:08:40.6176375Z,2022-11-26T06:09:42.1895917Z,"[""122.166.249.227""]","[""BAV2ROPC""]",2022-11-26T06:08:40.6176375Z
ES/Asturias,TH/Krung Thep,2022-11-26T06:08:58.0162211Z,2022-11-26T06:15:17.5924844Z,"[""85.152.12.148""]","[""BAV2ROPC""]",2022-11-26T06:08:58.0162211Z
ET/Adis Abeba,DK/Syddanmark,2022-11-26T06:09:29.2703021Z,2022-11-26T06:13:17.2122429Z,"[""197.156.97.198""]","[""BAV2ROPC""]",2022-11-26T06:09:29.2703021Z
VN/Nghe An,CN/Shaanxi,2022-11-26T06:12:46.8708758Z,2022-11-26T06:14:42.3920962Z,"[""27.72.81.194""]","[""BAV2ROPC""]",2022-11-26T06:12:46.8708758Z
DK/Syddanmark,IN/Uttar Pradesh,2022-11-26T06:13:04.0203764Z,2022-11-26T06:14:59.0732649Z,"[""95.154.17.66""]","[""BAV2ROPC""]",2022-11-26T06:13:04.0203764Z
PT/Lisboa,BG/Sofiya-Grad,2022-11-26T06:13:05.4727723Z,2022-11-26T06:13:33.5623479Z,"[""37.189.251.210""]","[""BAV2ROPC""]",2022-11-26T06:13:05.4727723Z
BG/Sofiya-Grad,TW/New Taipei,2022-11-26T06:13:23.0279012Z,2022-11-26T06:14:40.0847867Z,"[""94.139.201.162""]","[""BAV2ROPC""]",2022-11-26T06:13:23.0279012Z
TW/New Taipei,CN/Hainan,2022-11-26T06:14:26.4440263Z,2022-11-26T06:15:44.9909963Z,"[""110.25.99.29""]","[""BAV2ROPC""]",2022-11-26T06:14:26.4440263Z
CN/Shaanxi,IN/Uttar Pradesh,2022-11-26T06:14:34.5692587Z,2022-11-26T06:14:53.7788931Z,"[""61.150.88.22""]","[""BAV2ROPC""]",2022-11-26T06:14:34.5692587Z
IN/Uttar Pradesh,UA/Luhans'ka Oblast',2022-11-26T06:14:51.1534144Z,2022-11-26T06:15:42.6996777Z,"[""122.187.226.22""]","[""BAV2ROPC""]",2022-11-26T06:14:51.1534144Z
TH/Krung Thep,PK/Punjab,2022-11-26T06:15:12.2726738Z,2022-11-26T06:15:36.9670881Z,"[""110.170.190.147""]","[""BAV2ROPC""]",2022-11-26T06:15:12.2726738Z
PK/Punjab,UA/Luhans'ka Oblast',2022-11-26T06:15:26.5822583Z,2022-11-26T06:15:45.2893596Z,"[""43.251.255.120""]","[""BAV2ROPC""]",2022-11-26T06:15:26.5822583Z
UA/Luhans'ka Oblast',BR/Para,2022-11-26T06:15:34.7891354Z,2022-11-26T06:17:31.6756681Z,"[""178.214.184.2""]","[""BAV2ROPC""]",2022-11-26T06:15:34.7891354Z
CN/Hainan,IT/Catania,2022-11-26T06:15:39.4898804Z,2022-11-26T06:16:54.0880927Z,"[""59.49.145.133""]","[""BAV2ROPC""]",2022-11-26T06:15:39.4898804Z
IT/Catania,PK/Punjab,2022-11-26T06:16:54.0880927Z,2022-11-26T06:17:56.2723519Z,"[""80.21.208.94""]","[""BAV2ROPC""]",2022-11-26T06:16:54.0880927Z
BR/Para,IN/Goa,2022-11-26T06:17:21.2831083Z,2022-11-26T06:18:58.5199699Z,"[""201.20.109.202""]","[""BAV2ROPC""]",2022-11-26T06:17:21.2831083Z
RU/Moskva,PK/Punjab,2022-11-26T06:17:40.2044917Z,2022-11-26T06:17:56.2723519Z,"[""109.188.66.207""]","[""BAV2ROPC""]",2022-11-26T06:17:40.2044917Z
PK/Punjab,RU/Krasnodarskiy Kray,2022-11-26T06:17:56.2723519Z,2022-11-26T06:21:51.7021224Z,"[""43.251.255.123""]","[""BAV2ROPC""]",2022-11-26T06:17:56.2723519Z
IN/Goa,RU/Karachayevo-Cherkesiya,2022-11-26T06:18:55.5695027Z,2022-11-26T06:20:46.3571034Z,"[""103.65.197.142""]","[""BAV2ROPC""]",2022-11-26T06:18:55.5695027Z
SD/Al Khartum,RU/Krasnodarskiy Kray,2022-11-26T06:21:06.2179069Z,2022-11-26T06:21:51.7021224Z,"[""196.1.248.219""]","[""BAV2ROPC""]",2022-11-26T06:21:06.2179069Z
RU/Krasnodarskiy Kray,FR/Loiret,2022-11-26T06:21:51.7021224Z,2022-11-26T06:22:24.2258849Z,"[""37.29.116.217""]","[""BAV2ROPC""]",2022-11-26T06:21:51.7021224Z
FR/Loiret,ZM/Lusaka,2022-11-26T06:22:11.0870109Z,2022-11-26T06:22:50.3897579Z,"[""93.4.196.37""]","[""BAV2ROPC""]",2022-11-26T06:22:11.0870109Z
ZM/Lusaka,VN/Ninh Binh,2022-11-26T06:22:36.9467870Z,2022-11-26T06:33:54.2629372Z,"[""155.0.194.27""]","[""BAV2ROPC""]",2022-11-26T06:22:36.9467870Z
VN/Ninh Binh,US/Pennsylvania,2022-11-26T06:33:41.2054341Z,2022-11-26T06:44:59.7307038Z,"[""117.4.185.222""]","[""BAV2ROPC""]",2022-11-26T06:33:41.2054341Z
IN/Uttar Pradesh,US/Pennsylvania,2022-11-26T06:34:47.8633882Z,2022-11-26T06:44:59.7307038Z,"[""103.105.153.143""]","[""BAV2ROPC""]",2022-11-26T06:34:47.8633882Z
ID/Jawa Barat,RU/Krasnodarskiy Kray,2022-11-26T06:41:51.0867464Z,2022-11-26T06:42:57.2092632Z,"[""103.92.39.220""]","[""BAV2ROPC""]",2022-11-26T06:41:51.0867464Z
VE/Distrito Capital,RU/Krasnodarskiy Kray,2022-11-26T06:42:32.9984398Z,2022-11-26T06:43:02.5687221Z,"[""190.202.146.30""]","[""BAV2ROPC""]",2022-11-26T06:42:32.9984398Z
RU/Krasnodarskiy Kray,KW/Al Kuwayt,2022-11-26T06:42:51.7733756Z,2022-11-26T06:43:19.6022850Z,"[""85.175.96.38""]","[""BAV2ROPC""]",2022-11-26T06:42:51.7733756Z
US/Pennsylvania,IN/Chandigarh,2022-11-26T06:44:48.8289023Z,2022-11-26T06:46:33.8852551Z,"[""24.229.157.191""]","[""BAV2ROPC""]",2022-11-26T06:44:48.8289023Z
IN/Chandigarh,ES/Tarragona,2022-11-26T06:46:20.7448874Z,2022-11-26T06:46:48.4204175Z,"[""122.160.255.131""]","[""BAV2ROPC""]",2022-11-26T06:46:20.7448874Z
ES/Tarragona,AR/Jujuy,2022-11-26T06:46:39.8885601Z,2022-11-26T06:58:49.6329108Z,"[""149.6.204.5""]","[""BAV2ROPC""]",2022-11-26T06:46:39.8885601Z
AR/Jujuy,MX/Oaxaca,2022-11-26T06:58:46.9389182Z,2022-11-26T07:09:17.5400621Z,"[""190.182.194.137""]","[""BAV2ROPC""]",2022-11-26T06:58:46.9389182Z
GE/Tbilisi,CN/Xinjiang,2022-11-26T06:59:08.7760621Z,2022-11-26T07:06:57.5470796Z,"[""109.238.232.229""]","[""BAV2ROPC""]",2022-11-26T06:59:08.7760621Z
CH/Zuerich,MX/Oaxaca,2022-11-26T06:59:43.9932971Z,2022-11-26T07:09:17.5400621Z,"[""80.89.209.169""]","[""BAV2ROPC""]",2022-11-26T06:59:43.9932971Z
FR/Pas-De-Calais,CN/Xinjiang,2022-11-26T06:59:48.8750949Z,2022-11-26T07:06:57.5470796Z,"[""193.200.116.168""]","[""BAV2ROPC""]",2022-11-26T06:59:48.8750949Z
TZ/Dar Es Salaam,CN/Shandong,2022-11-26T07:00:17.2352532Z,2022-11-26T07:05:30.7799377Z,"[""41.59.193.231""]","[""BAV2ROPC""]",2022-11-26T07:00:17.2352532Z
CN/Chongqing,CN/Shandong,2022-11-26T07:01:25.7257104Z,2022-11-26T07:05:33.4519918Z,"[""219.153.13.161""]","[""BAV2ROPC""]",2022-11-26T07:01:25.7257104Z
